"","x"
"nacion",691
"farc",599
"paz",503
"conflicto",361
"seguridad",350
"mmv",347
"medida",317
"política",310
"organizacion",295
"participación",278
"persona",276
"proceso",276
"social",267
"implementación",265
"comunidad",246
"mecanismo",237
"sistema",234
"fin",223
"víctima",218
"integr",215
"caso",214
"político",214
"arma",213
"jurisdicción",213
"información",212
"desarrollo",200
"movimiento",198
"mujer",197
"instancia",191
"conducta",189
"comisión",187
"humano",185
"marco",185
"garantía",184
"verdad",183
"zvtn",179
"territorio",177
"responsabilidad",176
"rural",175
"garantizar",174
"justicia",174
"cumplimiento",173
"programa",173
"verificación",173
"cfhbd",172
"internacion",171
"construcción",170
"establecido",166
"protección",165
"pública",159
"ley",154
"actividad",153
"condicion",145
"reconocimiento",143
"cuenta",142
"incluyendo",141
"reparación",140
"uso",140
"repetición",139
"amnistía",138
"general",133
"procedimiento",131
"anterior",126
"unidad",126
"delito",124
"libertad",123
"penal",120
"autoridad",119
"monitoreo",116
"necesaria",116
"acordado",115
"seguimiento",113
"género",112
"población",112
"vida",111
"compromiso",110
"nivel",110
"enfoqu",107
"contribuir",106
"cultivo",106
"funcionamiento",106
"tierra",106
"desplazamiento",104
"partido",104
"deberá",103
"efecto",102
"ejercicio",102
"público",102
"ejecución",100
"funcion",100
"jurídica",100
"civil",99
"dejación",99
"plan",99
"promoción",99
"respecto",99
"objeto",98
"present",98
"convivencia",97
"podrá",96
"ciudadana",94
"mediant",93
"proyecto",93
"criterio",91
"hecho",91
"ilícito",91
"indulto",91
"diferent",89
"marcha",89
"nuevo",89
"fuerza",88
"inform",87
"medio",87
"promov",87
"principio",86
"mismo",85
"region",85
"conform",84
"día",84
"mayor",84
"base",82
"reincorporación",82
"coordinación",81
"materia",81
"particular",80
"institucion",79
"recurso",79
"accion",78
"dicha",78
"tribun",78
"criminal",77
"legal",77
"sancion",77
"tratamiento",77
"armado",76
"norma",76
"dentro",75
"lugar",75
"organización",75
"control",74
"debe",74
"ilícita",74
"investigación",74
"vez",74
"riesgo",72
"asegurar",71
"deberán",71
"firma",71
"propósito",71
"droga",70
"grave",70
"objetivo",69
"sociedad",69
"violencia",68
"armamento",67
"atención",67
"creación",67
"fortalecimiento",67
"necesidad",67
"según",67
"técnica",67
"definición",66
"sustitución",66
"respeto",65
"reforma",64
"resolución",64
"perjuicio",63
"producción",63
"espacio",62
"territori",62
"aplicación",61
"trabajo",61
"campesina",60
"colombia",60
"correspondient",60
"fuego",60
"representant",60
"tránsito",60
"acompañamiento",59
"acto",59
"apoyo",59
"comunitaria",59
"situación",59
"directa",58
"hostilidad",58
"campamento",57
"carácter",57
"competencia",57
"duradera",57
"hombr",57
"capacidad",56
"colectiva",56
"colombiano",56
"establ",56
"travé",56
"deben",55
"técnico",55
"efectiva",54
"familiar",54
"órgano",54
"problema",54
"cese",53
"comunicación",53
"consejo",53
"fuent",53
"podrán",53
"pueblo",53
"relación",53
"situacion",53
"terreno",53
"ambient",52
"esclarecimiento",52
"fortalec",52
"misma",52
"solución",52
"facilitar",51
"listado",51
"siempr",51
"grupo",50
"posibl",50
"definitivo",49
"economía",49
"especial",49
"hacer",49
"reconciliación",49
"sivjrnr",49
"violacion",49
"ademá",48
"anexo",48
"bajo",48
"conformidad",48
"ello",48
"jep",48
"surja",48
"ciudadano",47
"evaluación",47
"normalización",47
"pertinent",47
"recomendacion",47
"registro",47
"sanción",47
"servicio",47
"tener",47
"término",47
"bilater",46
"daño",46
"delegado",46
"participativa",46
"respons",46
"terminación",46
"área",45
"competent",45
"consumo",45
"labor",45
"planeación",45
"tipo",45
"transitoria",45
"municion",44
"pnis",44
"revisión",44
"tiempo",44
"bien",43
"buen",43
"disposición",43
"identificación",43
"internacional",43
"puedan",43
"transport",43
"agent",42
"campo",42
"diferenci",42
"dispositivo",42
"dos",42
"equipo",42
"garantizará",42
"mesa",42
"person",42
"prevención",42
"salud",42
"territorial",42
"transparencia",42
"unida",42
"año",41
"aplicará",41
"definitiva",41
"estrategia",41
"estructura",41
"report",41
"sección",41
"sentencia",41
"creará",40
"csvr",40
"cual",40
"cultura",40
"económico",40
"entrada",40
"especialment",40
"frent",40
"legislativo",40
"mandato",40
"nueva",40
"partir",40
"pondrá",40
"realizar",40
"república",40
"transformación",40
"bienestar",39
"causa",39
"cumplir",39
"democrática",39
"establec",39
"infraestructura",39
"municipal",39
"pdet",39
"razón",39
"comunitario",38
"contexto",38
"judicial",38
"ocasión",38
"regla",38
"relacionado",38
"rri",38
"trata",38
"aquella",37
"asistencia",37
"decision",37
"diferencia",37
"financiación",37
"hacia",37
"hará",37
"interno",37
"magistrado",37
"miembro",37
"persecución",37
"resultado",37
"sector",37
"afectada",36
"colombiana",36
"democracia",36
"extinción",36
"individu",36
"judici",36
"momento",36
"niña",36
"numer",36
"permita",36
"valor",36
"adoptar",35
"afectado",35
"colectivo",35
"confianza",35
"difusión",35
"elector",35
"fiscal",35
"función",35
"inicio",35
"lucha",35
"menor",35
"niño",35
"presencia",35
"puesta",35
"rede",35
"ruta",35
"sede",35
"constitución",34
"contenido",34
"deber",34
"efectivo",34
"explosivo",34
"incluida",34
"ingreso",34
"propiedad",34
"pueden",34
"almacenamiento",33
"condición",33
"decisión",33
"diferenciado",33
"humanitario",33
"infraccion",33
"plena",33
"promoverá",33
"regional",33
"sexual",33
"vigencia",33
"alto",32
"desaparecida",32
"económica",32
"elemento",32
"entidad",32
"evento",32
"generación",32
"libr",32
"oposición",32
"permanent",32
"práctica",32
"propuesta",32
"requier",32
"tres",32
"vigor",32
"administrativa",31
"búsqueda",31
"centro",31
"fase",31
"impuesta",31
"número",31
"permitan",31
"relacionada",31
"secretario",31
"vivir",31
"acusación",30
"ajust",30
"amenaza",30
"comercialización",30
"contribución",30
"escenario",30
"indirecta",30
"narcotráfico",30
"paramilitarismo",30
"poblacion",30
"representación",30
"satisfacción",30
"solicitud",30
"tarea",30
"transitorio",30
"análisi",29
"asamblea",29
"conjunto",29
"cultural",29
"documento",29
"fecha",29
"nación",29
"selección",29
"veredal",29
"aquello",28
"cometido",28
"común",28
"conexo",28
"conocimiento",28
"contará",28
"definir",28
"disciplinaria",28
"diseño",28
"familia",28
"formación",28
"hace",28
"investigacion",28
"misión",28
"municipio",28
"pobreza",28
"privada",28
"requisito",28
"tale",28
"acordada",27
"activo",27
"amnisti",27
"amplia",27
"comunicacion",27
"consecuencia",27
"cronograma",27
"dada",27
"defensa",27
"específica",27
"étnico",27
"indígena",27
"logística",27
"resolucion",27
"sosten",27
"agenda",26
"avanc",26
"código",26
"condenado",26
"corrupción",26
"defensor",26
"departamental",26
"distinta",26
"educación",26
"inmediata",26
"militar",26
"oportunidad",26
"previament",26
"propio",26
"rebelión",26
"renuncia",26
"respectiva",26
"sostenibilidad",26
"característica",25
"conversacion",25
"diálogo",25
"énfasi",25
"esfuerzo",25
"establecida",25
"fenómeno",25
"igualdad",25
"implica",25
"individual",25
"ordinaria",25
"poner",25
"propia",25
"protesta",25
"suficient",25
"tenencia",25
"ubicación",25
"verificar",25
"adopción",24
"agosto",24
"alternativa",24
"armada",24
"construir",24
"contenedor",24
"despliegu",24
"haber",24
"incumplimiento",24
"integral",24
"previsto",24
"pued",24
"recibir",24
"rigen",24
"tras",24
"ubpd",24
"vigent",24
"campaña",23
"dato",23
"denominada",23
"ejecutivo",23
"encuentren",23
"étnica",23
"impacto",23
"insumo",23
"integrado",23
"monitor",23
"municip",23
"ningún",23
"opinión",23
"país",23
"prioridad",23
"sucesora",23
"adecuación",22
"alerta",22
"capacitación",22
"comité",22
"debido",22
"fondo",22
"mese",22
"plazo",22
"privación",22
"productivo",22
"recuperación",22
"resto",22
"vivienda",22
"acuerdan",21
"alimentación",21
"calidad",21
"circunstancia",21
"cometida",21
"definido",21
"determinación",21
"días",21
"experiencia",21
"fiscalía",21
"formalización",21
"incident",21
"institucional",21
"interé",21
"interior",21
"luego",21
"oportuna",21
"president",21
"previa",21
"primera",21
"producto",21
"régimen",21
"restitución",21
"tema",21
"toma",21
"vigilancia",21
"vulner",21
"adecuada",20
"adelant",20
"alcanc",20
"alternativo",20
"ámbito",20
"aprobación",20
"articulación",20
"autonomía",20
"beneficiario",20
"compromet",20
"comprometen",20
"conclusion",20
"conjunta",20
"constitucion",20
"cooperación",20
"crear",20
"cultur",20
"defensora",20
"destinatario",20
"entrega",20
"fundament",20
"guerra",20
"implementará",20
"incluy",20
"integración",20
"interlocución",20
"lograr",20
"obligacion",20
"ocurrido",20
"orden",20
"organizado",20
"participar",20
"poder",20
"privado",20
"subsidio",20
"sujeto",20
"violación",20
"adelantar",19
"adolescent",19
"agrícola",19
"alimento",19
"atendiendo",19
"beneficio",19
"cantidad",19
"ciudadanía",19
"consulta",19
"contien",19
"cuyo",19
"discusión",19
"distinto",19
"especializada",19
"estatuto",19
"identificar",19
"inclusión",19
"integridad",19
"interes",19
"metodología",19
"prevenir",19
"prevista",19
"pueda",19
"retorno",19
"supervisión",19
"supuesto",19
"alimentaria",18
"apertura",18
"apoyar",18
"beneficiaria",18
"campesino",18
"causado",18
"combatient",18
"condicionada",18
"congreso",18
"contemplado",18
"delegada",18
"democrático",18
"efectividad",18
"establecerá",18
"garant",18
"garantizando",18
"generar",18
"jurídico",18
"lavado",18
"mando",18
"ofici",18
"onu",18
"particularidad",18
"pertenencia",18
"priorizada",18
"productor",18
"requiera",18
"activa",17
"administración",17
"adoptada",17
"adopten",17
"adquirido",17
"atend",17
"comision",17
"coordinará",17
"crédito",17
"edad",17
"evitar",17
"fundamental",17
"histórica",17
"incluido",17
"incluir",17
"inicia",17
"lineamiento",17
"manejo",17
"materi",17
"movilización",17
"productora",17
"providencia",17
"realiza",17
"realización",17
"reconoc",17
"rendición",17
"solo",17
"suministro",17
"temprana",17
"texto",17
"verificado",17
"acta",16
"adicionalment",16
"administrativo",16
"buena",16
"cámara",16
"cargo",16
"comisionado",16
"condena",16
"controversia",16
"cuba",16
"cumplan",16
"dar",16
"decidir",16
"denuncia",16
"desmantelamiento",16
"digna",16
"dispuesto",16
"equidad",16
"estigmatización",16
"estructur",16
"extradición",16
"fine",16
"funcionario",16
"gestión",16
"juicio",16
"logístico",16
"meta",16
"normativo",16
"obra",16
"participativo",16
"pena",16
"policía",16
"primer",16
"proteg",16
"realizará",16
"reconozcan",16
"representativa",16
"respetando",16
"solidaria",16
"solucion",16
"superior",16
"voluntaria",16
"acced",15
"adecuado",15
"agua",15
"ampliación",15
"asociada",15
"contribuya",15
"coordinacion",15
"cuerpo",15
"cuya",15
"dará",15
"desempeño",15
"despué",15
"electoral",15
"erradicación",15
"establezca",15
"formulación",15
"frontera",15
"granada",15
"harán",15
"igual",15
"iniciativa",15
"mejorar",15
"núcleo",15
"organismo",15
"pacífica",15
"priorización",15
"realizan",15
"reserva",15
"servidor",15
"solicitar",15
"solicitará",15
"sometimiento",15
"trate",15
"último",15
"valoración",15
"veeduría",15
"vías",15
"acusada",14
"aplic",14
"asunto",14
"básica",14
"brevedad",14
"cierr",14
"colaboración",14
"condenada",14
"contribuyan",14
"coordinada",14
"correspond",14
"corresponda",14
"crimen",14
"cuentan",14
"desarrollará",14
"determinado",14
"directora",14
"divulgación",14
"ejerc",14
"ejercen",14
"establecimiento",14
"estudio",14
"evidencia",14
"fortalecerá",14
"fundamento",14
"habana",14
"hacen",14
"identidad",14
"mayo",14
"milicia",14
"modelo",14
"paramilitar",14
"participaciónejecución",14
"polici",14
"presentar",14
"proferida",14
"recolección",14
"satisfac",14
"seccion",14
"superación",14
"surjan",14
"totalidad",14
"ver",14
"alcanzado",13
"alguna",13
"aspecto",13
"basada",13
"canal",13
"ciudad",13
"consider",13
"convenio",13
"crímene",13
"definida",13
"departament",13
"desarrollar",13
"dih",13
"discapacidad",13
"eficaz",13
"elaboración",13
"empleo",13
"especializado",13
"estratégica",13
"extracción",13
"garanticen",13
"hoja",13
"hubier",13
"indult",13
"instrumento",13
"interesado",13
"interpretación",13
"jóvene",13
"largo",13
"liter",13
"logro",13
"mejoramiento",13
"nombr",13
"normatividad",13
"operacion",13
"párrafo",13
"pleno",13
"pondrán",13
"posterior",13
"razon",13
"rebeld",13
"refier",13
"región",13
"relacion",13
"requerimiento",13
"respuesta",13
"salida",13
"segura",13
"suscrito",13
"tecnológica",13
"tolerancia",13
"trabajadora",13
"visión",13
"abandono",12
"adoptará",12
"adoptarán",12
"amenacen",12
"aquí",12
"cabo",12
"candidato",12
"comparec",12
"compra",12
"concertada",12
"contar",12
"coordinar",12
"debat",12
"determinar",12
"director",12
"dispon",12
"disponibilidad",12
"diversidad",12
"esquema",12
"expresament",12
"extranjero",12
"factor",12
"finalización",12
"formal",12
"futuro",12
"igualment",12
"impulso",12
"incluya",12
"incorporación",12
"inest",12
"junto",12
"laboral",12
"manten",12
"médica",12
"mencionada",12
"mencionado",12
"mina",12
"mínimo",12
"normativa",12
"participaron",12
"pedagogía",12
"período",12
"perspectiva",12
"perturbación",12
"presupuesto",12
"principal",12
"proced",12
"procesado",12
"productiva",12
"recepción",12
"recibido",12
"requieran",12
"roma",12
"senado",12
"sólo",12
"superar",12
"trabajador",12
"vocero",12
"actuacion",11
"acuerden",11
"ampliar",11
"avanzar",11
"brindar",11
"cinco",11
"cobertura",11
"concordancia",11
"conducción",11
"conformación",11
"consenso",11
"considerando",11
"constitucional",11
"consumidora",11
"coordenada",11
"curso",11
"definirá",11
"derivada",11
"designado",11
"destrucción",11
"diseñar",11
"distribución",11
"duración",11
"encuentran",11
"equitativo",11
"equivalent",11
"esclarec",11
"ésta",11
"establecerán",11
"estándar",11
"éste",11
"etc",11
"exclusivament",11
"existent",11
"extrajudicial",11
"facultad",11
"ficha",11
"haga",11
"hagan",11
"herramienta",11
"hora",11
"imparcialidad",11
"implementar",11
"incluirán",11
"incorporará",11
"instituto",11
"lídere",11
"limpieza",11
"mejor",11
"ministerio",11
"naturaleza",11
"ninguna",11
"observador",11
"ordenamiento",11
"otorgará",11
"participen",11
"pequeño",11
"periodo",11
"permanencia",11
"permit",11
"personal",11
"petición",11
"pluralismo",11
"preparación",11
"presentará",11
"procedent",11
"progresiva",11
"provisión",11
"referencia",11
"reglamento",11
"resolv",11
"respectivo",11
"riego",11
"salvo",11
"sentar",11
"sitio",11
"total",11
"traslado",11
"utilización",11
"verifica",11
"acompañado",10
"actor",10
"afrodescendient",10
"agraria",10
"ambiental",10
"aprobado",10
"circunscripcion",10
"combat",10
"conced",10
"consolidación",10
"constituyen",10
"consumidor",10
"contarán",10
"contribuirá",10
"contribuyen",10
"cooperativa",10
"crimin",10
"debida",10
"declaración",10
"departamento",10
"determin",10
"dignidad",10
"discriminación",10
"diversa",10
"dominio",10
"educativa",10
"ejemplo",10
"entrado",10
"específico",10
"experto",10
"explotar",10
"expresión",10
"física",10
"forzado",10
"ginebra",10
"hoy",10
"humanidad",10
"ileg",10
"impulsará",10
"incluyen",10
"indirectament",10
"inici",10
"integrada",10
"investigado",10
"judicialización",10
"lgbti",10
"lideresa",10
"lista",10
"manipulación",10
"mantenimiento",10
"masiva",10
"máximo",10
"múltipl",10
"noruega",10
"numeral",10
"obligación",10
"oferta",10
"oficina",10
"orientación",10
"pacto",10
"personería",10
"planeamiento",10
"posibilidad",10
"prioritaria",10
"recibirá",10
"rehabilitación",10
"relativo",10
"remitirá",10
"socio",10
"supon",10
"tempor",10
"temporal",10
"transición",10
"únicament",10
"único",10
"unión",10
"universidad",10
"acuerd",9
"adelantará",9
"adicional",9
"alcanzar",9
"anterioridad",9
"anticipada",9
"antiperson",9
"aplicarán",9
"artefacto",9
"asegur",9
"asociacion",9
"beneficiado",9
"censo",9
"comisionada",9
"comprometida",9
"comprometido",9
"concepción",9
"concesión",9
"conformada",9
"consideración",9
"consist",9
"contemplada",9
"contribuy",9
"cuanto",9
"cultivadora",9
"cumplida",9
"debidament",9
"decir",9
"declaracion",9
"defensoresa",9
"defina",9
"delegación",9
"determinada",9
"dirigida",9
"diseñará",9
"eficient",9
"ejecutiva",9
"elaborará",9
"elección",9
"entiend",9
"entregado",9
"financiero",9
"funcionariosa",9
"grado",9
"guaviar",9
"habitan",9
"humana",9
"humanitaria",9
"important",9
"incorporar",9
"indicado",9
"ingresar",9
"inmediatament",9
"intervención",9
"juzgada",9
"legalidad",9
"liderazgo",9
"línea",9
"masacr",9
"mercado",9
"millon",9
"ministro",9
"papel",9
"popular",9
"presidencia",9
"primero",9
"promoviendo",9
"propon",9
"reciba",9
"reconocido",9
"representativo",9
"requerido",9
"respond",9
"secretaría",9
"segundo",9
"sentido",9
"servidoresa",9
"tercero",9
"tomar",9
"tomará",9
"ubicada",9
"victimización",9
"vinculada",9
"virtud",9
"vocación",9
"voluntad",9
"zrc",9
"acompañant",8
"acreditación",8
"antiguo",8
"aportar",8
"articular",8
"asignado",8
"atentan",8
"audiencia",8
"cabeza",8
"calificación",8
"cambio",8
"candidata",8
"central",8
"cesación",8
"cnr",8
"combatir",8
"compuesto",8
"comun",8
"concentración",8
"concepto",8
"concertación",8
"concurso",8
"conoc",8
"contratación",8
"cort",8
"cultivador",8
"dando",8
"depósito",8
"desplazada",8
"destinado",8
"determinant",8
"determinará",8
"disturbio",8
"ecomún",8
"efectuada",8
"efectuará",8
"ejecucion",8
"ejecutar",8
"elegido",8
"encargada",8
"encargado",8
"entrar",8
"equilibrado",8
"escogencia",8
"estimular",8
"falta",8
"flujo",8
"gratuita",8
"haciendo",8
"homicidio",8
"idoneidad",8
"impondrán",8
"improvisado",8
"impulsar",8
"incluirá",8
"independencia",8
"institucionalidad",8
"integralidad",8
"integran",8
"interinstitucion",8
"involucrado",8
"jefe",8
"juez",8
"lesa",8
"manifiesten",8
"material",8
"meno",8
"mutuo",8
"natural",8
"negra",8
"nunca",8
"observacion",8
"ofrec",8
"orientada",8
"orientado",8
"palenquera",8
"participado",8
"permanec",8
"persistencia",8
"pertenec",8
"pertenecient",8
"plataforma",8
"plenament",8
"plenipotenciario",8
"pluralista",8
"pongan",8
"port",8
"presentado",8
"presenten",8
"presunto",8
"princip",8
"priorizando",8
"promueva",8
"psicosoci",8
"publicación",8
"raizal",8
"rápida",8
"reacción",8
"realizado",8
"reconocida",8
"reconociendo",8
"relevant",8
"remitida",8
"requieren",8
"san",8
"sancionado",8
"serlo",8
"somet",8
"sufrimiento",8
"suspensión",8
"sustancia",8
"sustracción",8
"tardar",8
"testigo",8
"trámite",8
"transformacion",8
"transparent",8
"ubicado",8
"vereda",8
"vinculación",8
"violento",8
"vocera",8
"abogado",7
"aceptación",7
"actual",7
"actualización",7
"adjudicación",7
"aei",7
"afectar",7
"afrocolombiana",7
"ágil",7
"ajeno",7
"alistamiento",7
"alrededor",7
"alta",7
"amplio",7
"analizar",7
"apropiada",7
"armerillo",7
"aseguramiento",7
"asesoría",7
"asociado",7
"asonada",7
"cadena",7
"calificado",7
"carnal",7
"certifica",7
"comprometa",7
"comunica",7
"conexidad",7
"conferencia",7
"consideran",7
"consolidar",7
"constituirá",7
"constituy",7
"constituyan",7
"contado",7
"contenida",7
"coordin",7
"copia",7
"cosa",7
"crea",7
"creado",7
"crearán",7
"definirán",7
"delegadoa",7
"demanda",7
"desaparición",7
"designada",7
"detrimento",7
"dimension",7
"directament",7
"disciplinario",7
"disfrut",7
"disposicion",7
"dotación",7
"eficacia",7
"elegida",7
"emergencia",7
"encontrar",7
"encuentra",7
"enfrentar",7
"enlac",7
"equilibrada",7
"establezcan",7
"estat",7
"estímulo",7
"excarcelado",7
"existir",7
"experta",7
"exterior",7
"fabricación",7
"favorabilidad",7
"fijar",7
"financiar",7
"formulario",7
"forzada",7
"garantic",7
"genocidio",7
"gravedad",7
"gubernamental",7
"hubieren",7
"impedir",7
"implementarán",7
"impunidad",7
"independient",7
"informará",7
"inspección",7
"instalacion",7
"instalación",7
"investigada",7
"investigar",7
"iván",7
"julio",7
"limitación",7
"localización",7
"magistrada",7
"manifestación",7
"map",7
"mediano",7
"mercadeo",7
"mérito",7
"mira",7
"monitoreado",7
"monumento",7
"muse",7
"nacionalidad",7
"negociador",7
"onal",7
"orientador",7
"otorgar",7
"pactado",7
"paso",7
"periódica",7
"periódico",7
"perseguir",7
"pertenezcan",7
"ponga",7
"presentación",7
"presidenci",7
"presunta",7
"progresivo",7
"promuevan",7
"prueba",7
"punibl",7
"rama",7
"rechazo",7
"reclutamiento",7
"recolectada",7
"referida",7
"reg",7
"rehen",7
"relativa",7
"requerida",7
"revolucionaria",7
